ID,抽出日,メッセージ日,LINE名,カテゴリ,口コミ内容,使用済み,投稿日,備考
1,20260131,2026/01/28,り***,other,ご丁寧にご返信いただき、ありがとうございます！前向きに検討させて頂きます！,,,
2,20260131,2026/01/28,え***,other,こんにちは、海老原というものです。子供がラビキッズワールドに通っています✨クリスマス会の写真がみたいのでURLを送って貰えたら嬉しいです(嬉しい)よろしくお願いします(よろしく),,,
3,20260131,2026/01/28,︎***,other,素敵な写真をたくさん撮っていただきありがとうございました🙇‍♀️♡♡写真全部良すぎて感動しました( ; ; )✨️本当にありがとうございました😭♡♡♡♡,,,
4,20260131,2026/01/28,***,other,変更ありがとうございます(shine)よろしくお願いします(よろしく),,,
5,20260131,2026/01/28,さ***,birthday,こんばんは。写真確認しました。今回も素敵に撮っていただきありがとうございました😊💕また誕生日のときにはお願いしたいです。本当にありがとうございました！,,,
6,20260131,2026/01/27,り***,other,ご丁寧にありがとうございます！ちなみに、訪問着をレンタルした場合、スタジオ撮影だけでなく、ロケーション撮影（宮崎神宮）にも、そのまま着用していくことは可能でしょうか？,,,
7,20260131,2026/01/27,り***,other,"ご丁寧にご返信いただき、ありがとうございます！恐れ入りますが、念のため料金について確認させてください。日曜日に、訪問着レンタルおよびヘアメイク込みでお願いした場合、・スタジオ＋ロケ：33,300円・土日祝料金：＋3,300円・訪問着レンタル：＋16,500円・ヘアメイク：＋11,550円上記内容で、合計64,650円（税込）という認識でよろしいでしょうか？お手数をおかけいたしますが、ご確認のほどよろしくお願いいたします。",,,
8,20260131,2026/01/27,日***,other,ありがとうございます😊1977gで産まれたので、今NICUに入ってます！赤ちゃんが入院になり、入院期間が今のところ3週間〜4週間との事でした。退院が、2/16〜2/23だと予想されるので、その日以降に変更していただきたいのですがよろしいでしょうか??,,,
9,20260131,2026/01/27,さ***,other,おはようございます☀️返信ありがとうございます！当日楽しみにしております(頼む),,,
10,20260131,2026/01/26,森***,newborn,こんにちは(emoji)こちらこそ、お正月の忙しい中撮影していただきありがとうございました！！可愛すぎるニューボーンフォト(emoji)マタニティフォトに引き続きヒカリノスタジオさんにお願い出来て本当によかったです！(emoji)またぜひお願いしたいです(emoji)ありがとうございました！(emoji),,,
11,20260131,2026/01/26,ま***,shichigosan,はいもう早いもので七五三になりましてお姉ちゃんにもなりました🥰ありがとうございます(ありがとう)日程を確認して予約させていただきます🙇‍♀️,,,
12,20260131,2026/01/26,愛***,birthday,ありがとうございます！早いもので、2/24で1歳です👶←よろしくお願い致します(Brown bow),,,
13,20260131,2026/01/26,大***,other,ご連絡ありがとうございます。2/2 14：00前後大丈夫です。お願いします。,,,
14,20260131,2026/01/26,ひ***,other,こんにちは(ありがとう)先日はありがとうございました！出来上がりを楽しみにしています(emoji)写真のフレームはどちらから見れますか？,,,
